Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
100,14745600,[0.00537109375],[0.0],2.3884130641818047
300,44236800,[0.013427734375],[0.0],5.766612011939287
500,73728000,[0.021484375],[0.0],23.364790249615908
700,103219200,[0.029541015625],[0.0],28.98845262825489
900,132710400,[0.040283203125],[0.0],25.367570109665394
1100,162201600,[0.04833984375],[0.0],27.880484703928232
1300,191692800,[0.056396484375],[0.0],29.047046322375536
1500,221184000,[0.064453125],[0.0],34.62418168783188
1700,250675200,[0.072509765625],[0.0],45.85188254714012
1900,280166400,[0.08056640625],[0.0],48.43826498836279
2100,309657600,[0.088623046875],[0.0],50.611102022230625
