Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
100,379699200,0.1162109375,0.0,2.82384955077147
150,846028800,0.260009765625,0.0,4.8278989270329475
200,1496678400,0.4521484375,0.0,6.234602936144386
250,2331648000,0.56640625,0.0,7.839419993058759
300,3350937600,0.83984375,0.0,10.574590262709831
350,4554547200,1.18,0.0,15.608274577451605
400,5942476800,1.56,0.0,17.89691234577675
450,7514726400,2.01,0.0,20.628286326037987
500,9271296000,2.22,0.0,21.169157261599082
550,11212185600,2.76,0.0,25.352987394269025
600,13337395200,3.33,0.0,28.44340879736202
650,15646924800,3.97,0.0,35.393551856811555
700,18140774400,4.26,0.0,36.914460893188206
750,20818944000,5.0,0.0,40.97777775165682
800,23681433600,5.75,0.0,49.2715916919465
