Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
32,160432128,"[0.020751953125, 0.01806640625, 0.0361328125]","[0.0, 0.0, 0.0]",2.110235714353621
42,272498688,"[0.0, 0.07666015625, 0.024658203125]","[0.0, 0.0, 0.0]",3.166962480172515
52,414056448,"[0.0, 0.08984375, 0.029052734375]","[0.0, 0.0, 0.0]",3.7412096047773957
62,585105408,"[0.0, 0.109619140625, 0.03564453125]","[0.0, 0.0, 0.0]",5.299071134068072
72,785645568,"[0.0, 0.24560546875, 0.080078125]","[0.0, 0.0, 0.0]",6.55049046035856
82,1015676928,"[0.0, 0.28515625, 0.09326171875]","[0.0, 0.0, 0.0]",7.2594709834083915
92,1275199488,"[0.0, 0.3115234375, 0.10205078125]","[0.0, 0.0, 0.0]",8.309564096853137
102,1564213248,"[0.0, 0.35107421875, 0.115234375]","[0.0, 0.0, 0.0]",9.27332738880068
112,1882718208,"[0.0, 0.37744140625, 0.1240234375]","[0.0, 0.0, 0.0]",10.079911681823432
122,2230714368,"[0.0, 0.4169921875, 0.13720703125]","[0.0, 0.0, 0.0]",10.170136643573642
132,2608201728,"[0.446044921875, 0.218994140625, 0.218994140625]","[0.0, 0.0, 0.0]",9.5898417243734
142,3015180288,"[0.0, 0.724365234375, 0.23876953125]","[0.0, 0.0, 0.0]",12.433442855253816
152,3451650048,"[0.0, 0.763916015625, 0.251953125]","[0.0, 0.0, 0.0]",13.055525454692543
162,3917611008,"[0.551513671875, 0.271728515625, 0.271728515625]","[0.0, 0.0, 0.0]",11.971250562928617
172,4413063168,"[0.577880859375, 0.284912109375, 0.284912109375]","[0.0, 0.0, 0.0]",11.320337299257517
182,4938006528,"[0.617431640625, 0.3046875, 0.3046875]","[0.0, 0.0, 0.0]",12.573837088420987
192,5492441088,"[0.643798828125, 0.31787109375, 0.31787109375]","[0.0, 0.0, 0.0]",14.038676475174725
