Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
32,160432128,"[0.020751953125, 0.05419921875]","[0.0, 0.0]",2.742308706510812
42,272498688,"[0.02734375, 0.073974609375]","[0.0, 0.0]",3.972517380025238
52,414056448,"[0.03173828125, 0.087158203125]","[0.0, 0.0]",4.005381828173995
62,585105408,"[0.038330078125, 0.10693359375]","[0.0, 0.0]",5.976308565586805
72,785645568,"[0.08544921875, 0.240234375]","[0.0, 0.0]",7.1414305991493165
82,1015676928,"[0.0986328125, 0.27978515625]","[0.0, 0.0]",8.163579411339015
92,1275199488,"[0.107421875, 0.30615234375]","[0.0, 0.0]",9.039021753706038
102,1564213248,"[0.12060546875, 0.345703125]","[0.0, 0.0]",10.048018237575889
112,1882718208,"[0.12939453125, 0.3720703125]","[0.0, 0.0]",10.91082907980308
122,2230714368,"[0.142578125, 0.41162109375]","[0.0, 0.0]",11.943171725142747
132,2608201728,"[0.22705078125, 0.656982421875]","[0.0, 0.0]",13.402252972591668
142,3015180288,"[0.246826171875, 0.71630859375]","[0.0, 0.0]",14.427448075730354
152,3451650048,"[0.260009765625, 0.755859375]","[0.0, 0.0]",15.27100806357339
162,3917611008,"[0.27978515625, 0.815185546875]","[0.0, 0.0]",15.965183218941092
172,4413063168,"[0.29296875, 0.854736328125]","[0.0, 0.0]",16.332641756162047
182,4938006528,"[0.312744140625, 0.9140625]","[0.0, 0.0]",17.82251049997285
192,5492441088,"[0.325927734375, 0.95361328125]","[0.0, 0.0]",18.75336314784363
202,6076366848,"[0.4609375, 1.35]","[0.0, 0.0]",20.76482723467052
212,6689783808,"[0.478515625, 1.4]","[0.0, 0.0]",21.6738433833234
222,7332691968,"[0.5048828125, 1.48]","[0.0, 0.0]",22.837250910233706
232,8005091328,"[0.5224609375, 1.54]","[0.0, 0.0]",23.760938895866275
242,8706981888,"[0.548828125, 1.61]","[0.0, 0.0]",24.862916346173733
252,9438363648,"[0.56640625, 1.67]","[0.0, 0.0]",25.73041904019192
262,10199236608,"[0.740966796875, 2.18]","[0.0, 0.0]",28.19449296919629
272,10989600768,"[0.762939453125, 2.25]","[0.0, 0.0]",29.012765150982887
282,11809456128,"[0.7958984375, 2.35]","[0.0, 0.0]",30.229733963496983
