DEPTH,NEURONS,TOTAL_PARAMS
1,61,61556
1,1061,1070556
1,2061,2079556
1,3061,3088556
1,4061,4097556
1,5061,5106556
1,6061,6115556
11,61,6784
11,1061,285857
11,2061,895442
11,3061,1835539
11,4061,3106148
11,5061,4707269
11,6061,6639006
21,61,3487
21,1061,155599
21,2061,488959
21,3061,1003164
21,4061,1699244
21,5061,2576056
21,6061,3635329
31,61,2372
31,1061,107623
31,2061,336807
31,3061,690919
31,4061,1169706
31,5061,1774314
31,6061,2503114
41,61,2332
41,1061,81924
41,2061,257599
41,3061,527623
41,4061,893498
41,5061,1353954
41,6061,1909642
51,61,2292
51,1061,66589
51,2061,208729
51,3061,427669
51,4061,722798
51,5061,1095498
51,6061,1544499
61,61,1256
61,1061,56572
61,2061,175404
61,3061,359599
61,4061,607487
61,5061,919887
61,6061,1297498
