Num neuronas,# MACs,Inference time
100,722200,0.052580609917640686
140,1027880,0.07049925625324249
180,1343160,0.09300373494625092
220,1668040,0.13545434921979904
260,2002520,0.1546451821923256
300,2346600,0.2060486003756523
340,2700280,0.2198750153183937
380,3063560,0.29798317700624466
420,3436440,0.3758138045668602
460,3818920,0.4583951085805893
500,4211000,0.6123259663581848
540,4612680,0.5806572735309601
580,5023960,0.5930569022893906
620,5444840,0.7121860980987549
660,5875320,0.7383665069937706
700,6315400,0.8089169859886169
740,6765080,0.8803438395261765
780,7224360,1.0182186961174011
820,7693240,1.063506118953228
860,8171720,1.268664374947548
900,8659800,1.2766970321536064
940,9157480,1.3374816626310349
980,9664760,1.3731997460126877
1020,10181640,1.4483323320746422
1060,10708120,1.5429919585585594
1100,11244200,1.6628997400403023
1140,11789880,1.692165620625019
1180,12345160,1.8138065934181213
1220,12910040,1.854153349995613
1260,13484520,2.012590877711773
1300,14068600,2.304856665432453
1340,14662280,2.1294327452778816
1380,15265560,2.3034876212477684
1420,15878440,2.409319393336773
1460,16500920,2.5316867977380753
1500,17133000,2.6701046153903008
1540,17774680,2.7853166684508324
1580,18425960,2.830863930284977
