Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
2,13844,432.25,0.0,0.12999155311560145
102,706044,870.5,0.0,0.16194270277509884
202,1398244,1.7,0.0,0.15097891683785283
302,2090444,2.13,0.0,0.15148896800012004
402,2782644,2.98,0.0,0.18155260239632762
502,3474844,3.41,0.0,0.17570319338416568
602,4167044,4.26,0.0,0.1880471138473676
702,4859244,4.68,0.0,0.18073697289337917
802,5551444,5.53,0.0,0.14468226391746072
902,6243644,6.38,0.0,0.18674026870605898
1002,6935844,6.81,0.0,0.17635613603859532
1102,7628044,69.0,7.59,21.09458420083535
1202,8320244,75.25,8.02,22.229332581390533
1302,9012444,81.5,8.86,24.52644634497713
1402,9704644,87.75,9.28,25.610009759512483
1502,10396844,94.0,10.12,27.88550170062452
1602,11089044,100.25,10.97,30.178420578262635
1702,11781244,106.5,11.39,31.371715383566155
1802,12473444,112.75,12.23,33.645097641464396
1902,13165644,119.0,12.66,34.831025590169794
2002,13857844,125.25,13.5,37.08635109039594
2102,14550044,131.5,13.92,38.2160691981565
2202,15242244,137.75,14.77,40.50005135145418
2302,15934444,144.0,15.19,41.64577302123819
2402,16626644,150.25,16.03,43.92568343223966
2502,17318844,156.5,16.88,46.208424360624385
2602,18011044,162.75,17.3,47.34678126453441
2702,18703244,169.0,18.14,49.63104631181578
2802,19395444,175.25,18.56,50.770967780631416
2902,20087644,181.5,19.41,53.01693275722922
3002,20779844,187.75,19.83,54.19126592044319
