Hidden neurons,# MACs,On chip mem used,Inference time
2,13844,459.00,0.08287251461297274
6,41532,486.00,0.09592124726623297
10,69220,513.00,0.08617287036031485
14,96908,540.00,0.08806593250483274
18,124596,567.00,0.08198694325983524
22,152284,594.00,0.09545388631522655
26,179972,621.00,0.09228198789060116
30,207660,648.00,0.08866537362337112
34,235348,675.00,0.08571263402700424
38,263036,702.00,0.08567198645323515
42,290724,729.00,0.09029668290168047
46,318412,756.00,0.09065073914825916
50,346100,783.00,0.09442235343158245
54,373788,810.00,0.09777197614312172
58,401476,837.00,0.09670128114521503
62,429164,864.00,0.101829725317657
66,456852,891.00,0.09933643508702517
