Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
100,37400,"[0.0322265625, 0.01220703125, 0.006103515625]","[0.0, 0.0, 0.0]",0.7049292512238026
140,69160,"[0.01171875, 0.05126953125, 0.0341796875]","[0.0, 0.0, 0.0]",0.7107239775359631
180,110520,"[0.01171875, 0.032958984375, 0.076904296875]","[0.0, 0.0, 0.0]",0.7139462605118752
220,161480,"[0.015625, 0.0537109375, 0.120849609375]","[0.0, 0.0, 0.0]",0.7143132574856281
260,222040,"[0.01953125, 0.079345703125, 0.174560546875]","[0.0, 0.0, 0.0]",0.7189147733151913
300,292200,"[0.01953125, 0.091552734375, 0.201416015625]","[0.0, 0.0, 0.0]",0.7186057418584824
340,371960,"[0.14794921875, 0.2490234375, 0.020751953125]","[0.0, 0.0, 0.0]",0.7198278605937958
380,461320,"[0.0234375, 0.41748046875, 0.023193359375]","[0.0, 0.0, 0.0]",0.7181963324546814
420,560280,"[0.02734375, 0.35888671875, 0.205078125]","[0.0, 0.0, 0.0]",0.7261214964091778
460,668840,"[0.03125, 0.224609375, 0.477294921875]","[0.0, 0.0, 0.0]",0.719977430999279
500,787000,"[0.275390625, 0.48828125, 0.030517578125]","[0.0, 0.0, 0.0]",0.7224914990365505
540,914760,"[0.331787109375, 0.296630859375, 0.32958984375]","[0.0, 0.0, 0.0]",0.7208964973688126
580,1052120,"[0.39306640625, 0.35400390625, 0.389404296875]","[0.0, 0.0, 0.0]",0.7220112532377243
620,1199080,"[0.41748046875, 0.37841796875, 0.416259765625]","[0.0, 0.0, 0.0]",0.7274064235389233
660,1355640,"[0.04296875, 1.33, 0.040283203125]","[0.0, 0.0, 0.0]",0.7274727895855904
700,1521800,"[0.04296875, 1.41, 0.042724609375]","[0.0, 0.0, 0.0]",0.724506676197052
740,1697560,"[0.5888671875, 1.08, 0.045166015625]","[0.0, 0.0, 0.0]",0.7292689010500908
780,1882920,"[0.05078125, 1.86, 0.047607421875]","[0.0, 0.0, 0.0]",0.7273382879793644
820,2077880,"[0.05078125, 1.3, 0.70068359375]","[0.0, 0.0, 0.0]",0.7282793335616589
860,2282440,"[0.0546875, 2.2, 0.052490234375]","[0.0, 0.0, 0.0]",0.7245399989187717
900,2496600,"[0.05859375, 1.65, 0.87890625]","[0.0, 0.0, 0.0]",0.7323311269283295
940,2720360,"[0.05859375, 1.72, 0.91796875]","[0.0, 0.0, 0.0]",0.7289669848978519
980,2953720,"[1.02, 1.91, 0.059814453125]","[0.0, 0.0, 0.0]",0.7265043444931507
1020,3196680,"[0.0625, 1.99, 1.06]","[0.0, 0.0, 0.0]",0.7267286442220211
1060,3449240,"[2.27, 1.1, 0.064697265625]","[0.0, 0.0, 0.0]",0.7228885963559151
1100,3711400,"[2.49, 1.21, 0.067138671875]","[0.0, 0.0, 0.0]",0.7225664705038071
1140,3983160,"[0.0703125, 2.5, 1.32]","[0.0, 0.0, 0.0]",0.7247546873986721
1180,4264520,"[1.44, 1.37, 1.44]","[0.0, 0.0, 0.0]",0.7302956469357014
1220,4555480,"[1.57, 2.98, 0.074462890625]","[0.0, 0.0, 0.0]",0.728488489985466
1260,4856040,"[3.15, 1.54, 0.076904296875]","[0.0, 0.0, 0.0]",0.7309235259890556
1300,5166200,"[1.75, 3.33, 0.079345703125]","[0.0, 0.0, 0.0]",0.7324665412306786
1340,5485960,"[1.8, 1.72, 1.8]","[0.0, 0.0, 0.0]",0.7257005386054516
1380,5815320,"[1.94, 1.85, 1.94]","[0.0, 0.0, 0.0]",0.7306358218193054
1420,6154280,"[0.08984375, 3.99, 2.08]","[0.0, 0.0, 0.0]",0.7315132208168507
1460,6502840,"[2.14, 4.1, 0.089111328125]","[0.0, 0.0, 0.0]",0.7289458252489567
1500,6861000,"[0.09375, 6.59, 0.091552734375]","[0.0, 0.0, 0.0]",0.7317301258444786
1540,7228760,"[2.45, 4.7, 0.093994140625]","[0.0, 0.0, 0.0]",0.7376364804804325
1580,7606120,"[2.51, 4.82, 0.096435546875]","[0.0, 0.0, 0.0]",0.7336056046187878
1620,7993080,"[2.67, 2.57, 2.67]","[0.0, 0.0, 0.0]",0.7316145300865173
1660,8389640,"[0.1015625, 5.27, 0.101318359375]","[0.0, 2.63, 0.0]",0.7309778407216072
1700,8795800,"[0.10546875, 5.6, 0.103759765625]","[0.0, 2.8, 0.0]",0.7336285896599293
1740,9211560,"[3.08, 5.95, 0.106201171875]","[0.0, 0.0, 0.0]",0.7296549901366234
1780,9636920,"[0.109375, 6.08, 0.108642578125]","[0.0, 3.04, 0.0]",0.7330706156790257
1820,10071880,"[6.56, 3.22, 0.111083984375]","[0.0, 0.0, 0.0]",0.7329782843589783
1860,10516440,"[3.52, 6.81, 0.113525390625]","[0.0, 0.0, 0.0]",0.7353405468165874
1900,10970600,"[0.1171875, 6.96, 3.59]","[0.0, 0.0, 0.0]",0.7327861152589321
1940,11434360,"[7.46, 3.67, 0.118408203125]","[0.0, 0.0, 0.0]",0.7358033768832684
1980,11907720,"[0.12109375, 3.75, 7.61]","[0.0, 0.0, 0.0]",0.7326052337884903
