Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
100,37400,"[0.0078125, 0.01220703125, 0.01220703125, 0.018310546875]","[0.0, 0.0, 0.0, 0.0]",0.9787108190357685
140,69160,"[0.01171875, 0.025634765625, 0.025634765625, 0.0341796875]","[0.0, 0.0, 0.0, 0.0]",1.0122604481875896
180,110520,"[0.01171875, 0.032958984375, 0.032958984375, 0.0439453125]","[0.0, 0.0, 0.0, 0.0]",0.9911472909152508
220,161480,"[0.015625, 0.0537109375, 0.0537109375, 0.067138671875]","[0.0, 0.0, 0.0, 0.0]",0.9918790310621262
260,222040,"[0.01953125, 0.079345703125, 0.079345703125, 0.09521484375]","[0.0, 0.0, 0.0, 0.0]",0.9985374100506306
300,292200,"[0.01953125, 0.091552734375, 0.091552734375, 0.10986328125]","[0.0, 0.0, 0.0, 0.0]",0.9994920901954174
340,371960,"[0.0234375, 0.12451171875, 0.12451171875, 0.145263671875]","[0.0, 0.0, 0.0, 0.0]",0.9930514171719551
380,461320,"[0.0234375, 0.13916015625, 0.13916015625, 0.162353515625]","[0.0, 0.0, 0.0, 0.0]",1.0001406073570251
420,560280,"[0.02734375, 0.179443359375, 0.179443359375, 0.205078125]","[0.0, 0.0, 0.0, 0.0]",0.9949270449578761
460,668840,"[0.03125, 0.224609375, 0.224609375, 0.252685546875]","[0.0, 0.0, 0.0, 0.0]",1.0044168680906296
500,787000,"[0.03125, 0.244140625, 0.244140625, 0.274658203125]","[0.0, 0.0, 0.0, 0.0]",1.0075284913182259
540,914760,"[0.03515625, 0.296630859375, 0.296630859375, 0.32958984375]","[0.0, 0.0, 0.0, 0.0]",1.0018384456634521
580,1052120,"[0.0390625, 0.35400390625, 0.35400390625, 0.389404296875]","[0.0, 0.0, 0.0, 0.0]",0.9933043830096723
620,1199080,"[0.0390625, 0.37841796875, 0.37841796875, 0.416259765625]","[0.0, 0.0, 0.0, 0.0]",0.9983266517519951
660,1355640,"[0.04296875, 0.443115234375, 0.443115234375, 0.4833984375]","[0.0, 0.0, 0.0, 0.0]",0.9966634400188923
700,1521800,"[0.04296875, 0.469970703125, 0.469970703125, 0.5126953125]","[0.0, 0.0, 0.0, 0.0]",1.0007752664387226
740,1697560,"[0.046875, 0.5419921875, 0.5419921875, 0.587158203125]","[0.0, 0.0, 0.0, 0.0]",0.9957954846322536
780,1882920,"[0.05078125, 0.618896484375, 0.618896484375, 0.66650390625]","[0.0, 0.0, 0.0, 0.0]",0.9985357336699963
820,2077880,"[0.05078125, 0.650634765625, 0.650634765625, 0.70068359375]","[0.0, 0.0, 0.0, 0.0]",0.9976101107895375
860,2282440,"[0.0546875, 0.73486328125, 0.73486328125, 0.787353515625]","[0.0, 0.0, 0.0, 0.0]",0.9990297816693783
900,2496600,"[0.05859375, 0.823974609375, 0.823974609375, 0.87890625]","[0.0, 0.0, 0.0, 0.0]",0.9985424391925335
940,2720360,"[0.05859375, 0.860595703125, 0.860595703125, 0.91796875]","[0.0, 0.0, 0.0, 0.0]",1.006407830864191
980,2953720,"[0.0625, 0.95703125, 0.95703125, 1.02]","[0.0, 0.0, 0.0, 0.0]",1.0098137706518173
1020,3196680,"[0.0625, 0.99609375, 0.99609375, 1.06]","[0.0, 0.0, 0.0, 0.0]",1.000222209841013
1060,3449240,"[0.06640625, 1.1, 1.1, 1.16]","[0.0, 0.0, 0.0, 0.0]",1.0094706155359745
1100,3711400,"[0.0703125, 1.21, 1.21, 1.28]","[0.0, 0.0, 0.0, 0.0]",1.007001344114542
1140,3983160,"[0.0703125, 1.25, 1.25, 1.32]","[0.0, 0.0, 0.0, 0.0]",1.0025984793901443
1180,4264520,"[0.07421875, 1.37, 1.37, 1.44]","[0.0, 0.0, 0.0, 0.0]",1.0111890360713005
1220,4555480,"[0.078125, 1.49, 1.49, 1.56]","[0.0, 0.0, 0.0, 0.0]",0.9956844709813595
1260,4856040,"[0.078125, 1.54, 1.54, 1.61]","[0.0, 0.0, 0.0, 0.0]",0.9978363290429115
1300,5166200,"[0.08203125, 1.67, 1.67, 1.75]","[0.0, 0.0, 0.0, 0.0]",1.0054627992212772
1340,5485960,"[0.08203125, 1.72, 1.72, 1.8]","[0.0, 0.0, 0.0, 0.0]",1.0105368122458458
1380,5815320,"[0.0859375, 1.85, 1.85, 1.94]","[0.0, 0.0, 0.0, 0.0]",1.004304438829422
1420,6154280,"[0.08984375, 1.99, 1.99, 2.08]","[0.0, 0.0, 0.0, 0.0]",1.0073604434728622
1460,6502840,"[0.08984375, 2.05, 2.05, 2.14]","[0.0, 0.0, 0.0, 0.0]",1.0061605274677277
1500,6861000,"[0.09375, 2.2, 2.2, 2.29]","[0.0, 0.0, 0.0, 0.0]",1.0129773616790771
