Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
100,37400,"[0.0078125, 0.0244140625, 0.018310546875]","[0.0, 0.0, 0.0]",1.1442000977694988
140,69160,"[0.01171875, 0.05126953125, 0.0341796875]","[0.0, 0.0, 0.0]",1.1057071387767792
180,110520,"[0.01171875, 0.06591796875, 0.0439453125]","[0.0, 0.0, 0.0]",1.1124745942652225
220,161480,"[0.015625, 0.107421875, 0.067138671875]","[0.0, 0.0, 0.0]",1.1336607858538628
260,222040,"[0.01953125, 0.15869140625, 0.09521484375]","[0.0, 0.0, 0.0]",1.062608789652586
300,292200,"[0.01953125, 0.18310546875, 0.10986328125]","[0.0, 0.0, 0.0]",1.0858983732759953
340,371960,"[0.0234375, 0.2490234375, 0.145263671875]","[0.0, 0.0, 0.0]",1.1760364286601543
380,461320,"[0.0234375, 0.2783203125, 0.162353515625]","[0.0, 0.0, 0.0]",1.170759554952383
420,560280,"[0.02734375, 0.35888671875, 0.205078125]","[0.0, 0.0, 0.0]",1.181872095912695
460,668840,"[0.03125, 0.44921875, 0.252685546875]","[0.0, 0.0, 0.0]",6.125555839389563
500,787000,"[0.03125, 0.48828125, 0.274658203125]","[0.0, 0.0, 0.0]",1.1330591514706612
540,914760,"[0.03515625, 0.59326171875, 0.32958984375]","[0.0, 0.0, 0.0]",1.123922411352396
580,1052120,"[0.0390625, 0.7080078125, 0.389404296875]","[0.0, 0.0, 0.0]",1.1324812658131123
620,1199080,"[0.0390625, 0.7568359375, 0.416259765625]","[0.0, 0.0, 0.0]",6.174921058118343
660,1355640,"[0.04296875, 0.88623046875, 0.4833984375]","[0.0, 0.0, 0.0]",6.215926725417376
700,1521800,"[0.04296875, 0.93994140625, 0.5126953125]","[0.0, 0.0, 0.0]",1.1119423434138298
740,1697560,"[0.046875, 1.08, 0.587158203125]","[0.0, 0.0, 0.0]",1.1339839547872543
780,1882920,"[0.05078125, 1.24, 0.66650390625]","[0.0, 0.0, 0.0]",1.1802525259554386
820,2077880,"[0.05078125, 1.3, 0.70068359375]","[0.0, 0.0, 0.0]",1.1944407597184181
860,2282440,"[0.0546875, 1.47, 0.787353515625]","[0.0, 0.0, 0.0]",1.204020343720913
900,2496600,"[0.05859375, 1.65, 0.87890625]","[0.0, 0.0, 0.0]",1.2417463585734367
940,2720360,"[0.05859375, 1.72, 0.91796875]","[0.0, 0.0, 0.0]",1.2226034887135029
980,2953720,"[0.0625, 1.91, 1.02]","[0.0, 0.0, 0.0]",1.1785421520471573
1020,3196680,"[0.0625, 1.99, 1.06]","[0.0, 0.0, 0.0]",1.2050303630530834
1060,3449240,"[0.06640625, 2.2, 1.16]","[0.0, 0.0, 0.0]",1.188464928418398
1100,3711400,"[0.0703125, 2.42, 1.28]","[0.0, 0.0, 0.0]",1.2242719531059265
1140,3983160,"[0.0703125, 2.5, 1.32]","[0.0, 0.0, 0.0]",1.1440706439316273
1180,4264520,"[0.07421875, 2.74, 1.44]","[0.0, 0.0, 0.0]",1.1223121546208858
1220,4555480,"[0.078125, 2.98, 1.56]","[0.0, 0.0, 0.0]",1.1804779060184956
