Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
100,37400,0.050537109375,0.0,0.10768231004476547
150,78600,0.1044921875,0.0,0.13254769146442413
200,134800,0.17431640625,0.0,0.13153161853551865
250,206000,0.215576171875,0.0,0.16652047634124756
300,292200,0.3125,0.0,0.12491922825574875
350,393400,0.431640625,0.0,0.1558857038617134
400,509600,0.564453125,0.0,0.14092214405536652
450,640800,0.720947265625,0.0,0.13954192399978638
500,787000,0.794189453125,0.0,0.16212929040193558
550,948200,0.978515625,0.0,0.16577821224927902
600,1124400,1.17,0.0,0.1678774133324623
650,1315600,1.4,0.0,0.2102656289935112
700,1521800,1.5,0.0,0.17408933490514755
750,1743000,1.75,0.0,0.1737605780363083
800,1979200,2.0,0.0,0.16014929860830307
850,2230400,2.29,0.0,0.20752940326929092
900,2496600,2.59,0.0,0.20962674170732498
950,2777800,2.73,0.0,0.20764395594596863
1000,3074000,3.05,0.0,0.29370374977588654
1050,3385200,3.41,0.0,0.14578644186258316
1100,3711400,3.76,0.0,0.16834400594234467
1150,4052600,3.94,0.0,0.16124825924634933
1200,4408800,4.32,0.0,0.1991288736462593
1250,4780000,4.74,0.0,0.18265563994646072
1300,5166200,5.16,0.0,0.1528160646557808
1350,5567400,5.61,0.0,0.2093575894832611
1400,5983600,5.81,0.0,0.20008720457553864
1450,6414800,6.29,0.0,0.2309568226337433
1500,6861000,6.78,0.0,0.2276664599776268
1550,7322200,7.3,0.0,0.23589842021465302
1600,7798400,7.52,0.0,0.2835281193256378
1650,8289600,5.45,2.62,7.582043297588825
1700,8795800,5.81,2.8,8.069884032011032
1750,9317000,6.2,2.99,8.60507506877184
1800,9853200,6.6,3.19,9.116816334426403
1850,10404400,6.78,3.28,9.382903575897217
1900,10970600,7.19,3.48,9.898831136524677
1950,11551800,7.63,3.69,10.473985224962234
2000,12148000,7.81,4.06,11.529590934515
2050,12759200,4.39,8.27,22.8743776679039
2100,13385400,4.49,8.46,23.40166736394167
2150,14026600,4.73,8.93,24.660374969244003
2200,14682800,4.97,9.4,26.165862567722797
2250,15354000,5.23,9.9,27.51627378165722
2300,16040200,5.33,10.11,28.09835784137249
2350,16741400,5.6,10.62,29.314696788787842
2400,17457600,5.86,11.13,30.616686679422855
2450,18188800,6.14,11.67,32.1198645979166
2500,18935000,6.41,12.21,33.53799320757389
2550,19696200,6.54,12.46,34.25513952970505
2600,20472400,6.83,13.01,35.76004132628441
2650,21263600,7.12,13.6,37.329116836190224
2700,22069800,0.332763671875,21.26,58.09371452778578
2750,22891000,0.3359375,21.67,59.195893816649914
2800,23727200,0.3427734375,22.56,61.575090512633324
2850,24578400,0.349853515625,23.5,64.1146544367075
2900,25444600,0.356689453125,24.43,66.68252311646938
2950,26325800,0.36376953125,25.4,69.34787426143885
3000,27222000,0.36669921875,25.82,70.4592801630497
