Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
2,13864,"[0.42236328125, 0.000732421875]","[0.0, 0.0]",0.3963923081755638
22,154704,"[0.4248046875, 0.00439453125]","[0.0, 0.0]",0.38928212597966194
42,299544,"[0.42724609375, 0.008056640625]","[0.0, 0.0]",0.33823074772953987
62,448384,"[0.4296875, 0.01171875]","[0.0, 0.0]",0.41464949026703835
82,601224,"[0.8642578125, 0.025634765625]","[0.0, 0.0]",1.623211894184351
102,758064,"[0.869140625, 0.03173828125]","[0.0, 0.0]",0.37655094638466835
122,918904,"[0.8740234375, 0.037841796875]","[0.0, 0.0]",0.391113106161356
142,1083744,"[1.32, 0.0615234375]","[0.0, 0.0]",1.5765214338898659
162,1252584,"[1.33, 0.070068359375]","[0.0, 0.0]",1.571302767843008
182,1425424,"[1.33, 0.07861328125]","[0.0, 0.0]",1.5837950631976128
202,1602264,"[1.79, 0.112060546875]","[0.0, 0.0]",1.562456600368023
222,1783104,"[1.8, 0.123046875]","[0.0, 0.0]",1.5561995096504688
242,1967944,"[1.81, 0.134033203125]","[0.0, 0.0]",1.5741754323244095
262,2156784,"[2.27, 0.17724609375]","[0.0, 0.0]",1.6017239540815353
282,2349624,"[2.28, 0.190673828125]","[0.0, 0.0]",1.5658298507332802
302,2546464,"[2.29, 0.2041015625]","[0.0, 0.0]",1.560368575155735
322,2747304,"[2.77, 0.257080078125]","[0.0, 0.0]",1.496974378824234
342,2952144,"[2.78, 0.27294921875]","[0.0, 0.0]",1.6012247651815414
362,3160984,"[2.8, 0.288818359375]","[0.0, 0.0]",1.5502013266086578
382,3373824,"[2.81, 0.3046875]","[0.0, 0.0]",1.5882761217653751
402,3590664,"[3.3, 0.369873046875]","[0.0, 0.0]",1.5451270155608654
422,3811504,"[3.32, 0.38818359375]","[0.0, 0.0]",1.6110348515212536
442,4036344,"[3.33, 0.406494140625]","[0.0, 0.0]",1.5283399261534214
462,4265184,"[3.83, 0.4814453125]","[0.0, 0.0]",1.6050077974796295
482,4498024,"[3.85, 0.502197265625]","[0.0, 0.0]",1.5836982056498528
502,4734864,"[3.87, 0.52294921875]","[0.0, 0.0]",1.5684980899095535
522,4975704,"[4.37, 0.607666015625]","[0.0, 0.0]",1.552616711705923
542,5220544,"[4.39, 0.630859375]","[0.0, 0.0]",1.5757335349917412
562,5469384,"[4.42, 0.654052734375]","[0.0, 0.0]",1.1974088847637177
582,5722224,"[4.93, 0.74853515625]","[0.0, 0.0]",1.535351388156414
602,5979064,"[4.96, 0.774169921875]","[0.0, 0.0]",1.6313372179865837
622,6239904,"[4.98, 0.7998046875]","[0.0, 0.0]",1.6062716022133827
642,6504744,"[5.51, 0.904052734375]","[0.0, 0.0]",1.6277940012514591
662,6773584,"[5.53, 0.93212890625]","[0.0, 0.0]",0.45355409383773804
682,7046424,"[5.56, 0.960205078125]","[0.0, 0.0]",1.5960284508764744
702,7323264,"[5.59, 0.98828125]","[0.0, 0.0]",1.645603682845831
722,7604104,"[6.12, 1.1]","[0.0, 0.0]",1.6205469146370888
742,7888944,"[6.15, 1.14]","[0.0, 0.0]",1.6635144129395485
762,8177784,"[6.18, 1.17]","[0.0, 0.0]",1.6419235616922379
782,8470624,"[6.73, 1.29]","[0.0, 0.0]",1.6230600886046886
802,8767464,"[6.76, 1.32]","[0.0, 0.0]",0.5230866372585297
822,9068304,"[6.79, 1.36]","[0.0, 0.0]",1.6444604843854904
842,9373144,"[7.35, 1.49]","[0.0, 0.0]",1.669962890446186
862,9681984,"[7.38, 1.53]","[0.0, 0.0]",1.656463835388422
882,9994824,"[7.42, 1.56]","[0.0, 0.0]",1.6171419993042946
902,10311664,"[7.16, 1.71]","[0.82763671875, 0.0]",3.8896510377526283
922,10632504,"[7.17, 1.75]","[0.845947265625, 0.0]",3.981808666139841
942,10957344,"[7.19, 1.79]","[0.8642578125, 0.0]",4.042132757604122
962,11286184,"[7.69, 1.94]","[0.94140625, 0.0]",4.23881970345974
982,11619024,"[7.71, 1.98]","[0.9609375, 0.0]",4.31317463517189
1002,11955864,"[7.73, 2.02]","[0.98046875, 0.0]",4.372163210064173
1022,12296704,"[7.75, 2.06]","[1.0, 0.0]",4.396937787532806
1042,12641544,"[2.17, 2.23]","[7.17, 0.0]",21.158950868993998
1062,12990384,"[2.21, 2.27]","[7.17, 0.0]",21.114155650138855
1082,13343224,"[2.25, 2.32]","[7.17, 0.0]",21.11970027908683
1102,13700064,"[2.43, 2.49]","[7.59, 0.0]",22.297553718090057
1122,14060904,"[2.47, 2.54]","[7.59, 0.0]",22.292629349976778
1142,14425744,"[2.51, 2.58]","[7.59, 0.0]",22.303439676761627
1162,14794584,"[2.7, 2.77]","[8.02, 0.0]",23.4378962777555
1182,15167424,"[2.75, 2.82]","[8.02, 0.0]",23.441707715392113
1202,15544264,"[2.79, 2.87]","[8.02, 0.0]",23.426698986440897
1222,15925104,"[2.99, 3.06]","[8.44, 0.0]",24.57623090595007
1242,16309944,"[3.04, 3.11]","[8.44, 0.0]",24.57232726737857
1262,16698784,"[3.09, 3.16]","[8.44, 0.0]",24.596852250397205
1282,17091624,"[3.29, 3.37]","[8.86, 0.0]",25.728074368089437
1302,17488464,"[3.34, 3.42]","[8.86, 0.0]",25.72591044008732
1322,17889304,"[3.39, 3.47]","[8.86, 0.0]",25.737627409398556
1342,18294144,"[3.45, 3.53]","[8.86, 0.0]",25.73651820421219
1362,18702984,"[3.66, 3.75]","[9.28, 0.0]",26.89598873257637
1382,19115824,"[3.72, 3.8]","[9.28, 0.0]",26.89714962616563
1402,19532664,"[3.77, 3.86]","[9.28, 0.0]",26.865295134484768
1422,19953504,"[4.0, 4.08]","[9.7, 0.0]",28.001664206385612
1442,20378344,"[4.05, 4.14]","[9.7, 0.0]",28.034554794430733
1462,20807184,"[4.11, 4.2]","[9.7, 0.0]",28.039762284606695
1482,21240024,"[4.35, 4.44]","[10.12, 0.0]",29.184410348534584
1502,21676864,"[4.41, 4.5]","[10.12, 0.0]",29.177736956626177
1522,22117704,"[4.46, 4.56]","[10.12, 0.0]",29.125331435352564
1542,22562544,"[4.71, 4.81]","[10.55, 0.0]",30.33338626846671
1562,23011384,"[4.77, 4.87]","[10.55, 0.0]",30.33058112487197
1582,23464224,"[4.83, 4.93]","[10.55, 0.0]",30.3300553932786
1602,23921064,"[5.09, 5.19]","[10.97, 0.0]",31.429465860128403
