Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
2,13864,0.423095703125,0.0,0.17532054334878922
12,83784,0.425537109375,0.0,0.18511060625314713
22,154704,0.42919921875,0.0,0.1859506592154503
32,226624,0.431640625,0.0,0.19093789160251617
42,299544,0.435302734375,0.0,0.17914175987243652
52,373464,0.437744140625,0.0,0.18912926316261292
62,448384,0.44140625,0.0,0.17594639211893082
72,524304,0.88330078125,0.0,0.1390250399708748
82,601224,0.889892578125,0.0,0.158027745783329
92,679144,0.894287109375,0.0,0.3703096881508827
102,758064,0.90087890625,0.0,0.20176731050014496
112,837984,0.9052734375,0.0,0.19385665655136108
122,918904,0.911865234375,0.0,0.21020881831645966
132,1000824,1.37,0.0,0.1455657184123993
142,1083744,1.38,0.0,0.16573630273342133
152,1167664,1.39,0.0,0.17821881920099258
162,1252584,1.4,0.0,0.22813864052295685
172,1338504,1.4,0.0,0.23386068642139435
182,1425424,1.41,0.0,0.20429398864507675
192,1513344,1.42,0.0,0.17142295837402344
202,1602264,1.9,0.0,0.17816293984651566
