Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
2,13844,0.422119140625,0.0,0.1360146062714713
102,706044,0.85009765625,0.0,0.17398863802759015
202,1398244,1.7,0.0,0.1824612026007808
302,2090444,2.13,0.0,0.1508086178527803
402,2782644,2.98,0.0,0.18346358128652282
502,3474844,3.41,0.0,0.15501384338249966
602,4167044,4.26,0.0,0.17265444241312086
702,4859244,4.68,0.0,0.15570497026248853
802,5551444,5.53,0.0,0.14295470805800692
902,6243644,6.38,0.0,0.22695361807638284
1002,6935844,6.81,0.0,0.18316840905011916
1102,7628044,0.0673828125,7.59,21.058715290713067
1202,8320244,0.073486328125,8.02,22.21298082826697
1302,9012444,0.07958984375,8.86,24.469030431794877
1402,9704644,0.085693359375,9.28,25.633108954192423
1502,10396844,0.091796875,10.12,27.888952041691056
1602,11089044,0.097900390625,10.97,30.214279671484718
1702,11781244,0.10400390625,11.39,31.402181558387014
1802,12473444,0.110107421875,12.23,33.676725698216835
1902,13165644,0.1162109375,12.66,34.77437461593321
2002,13857844,0.122314453125,13.5,37.08321749403768
