Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
2,13844,0.443359375,0.0,0.2756468495544122
102,706044,0.871337890625,0.0,0.2828223763832024
202,1398244,1.72,0.0,0.25245116795508227
302,2090444,2.15,0.0,0.297355123472457
402,2782644,3.0,0.0,0.2655422942218732
502,3474844,3.43,0.0,0.30671851709485054
602,4167044,4.28,0.0,0.2824715623746113
702,4859244,4.7,0.0,0.28981985904428426
802,5551444,5.55,0.0,0.29505934680298884
902,6243644,6.4,0.0,0.29411605008098546
1002,6935844,6.83,0.0,0.27139537150458415
1102,7628044,0.088623046875,7.59,21.180738980064586
1202,8320244,0.0947265625,8.02,22.39488588874133
1302,9012444,0.100830078125,8.86,24.649622764590443
1402,9704644,0.10693359375,9.28,25.749383009590055
1502,10396844,0.113037109375,10.12,28.04976989686185
1602,11089044,0.119140625,10.97,30.343692749738693
1702,11781244,0.125244140625,11.39,31.49219962521171
1802,12473444,0.13134765625,12.23,33.77699141143536
1902,13165644,0.137451171875,12.66,34.893456789455854
2002,13857844,0.1435546875,13.5,37.14872671443285
