Num filters,# MACs,Inference time
100,1504051200,21.586837247014046
120,2158755840,30.528681352734566
140,2931425280,41.08160361647606
160,3822059520,53.144218400120735
180,4830658560,66.77965726703405
200,5957222400,82.0316644385457
220,7201751040,98.79605565220118
240,8564244480,117.18742735683918
260,10044702720,137.44313921779394
280,11643125760,158.76680612564087
300,13359513600,182.41800740361214
320,15193866240,207.12993945926428
340,17146183680,233.1824079155922
360,19216465920,262.0472274720669
380,21404712960,291.51713103055954
400,23710924800,323.2991974800825
420,26135101440,357.3894426226616
440,28677242880,393.5098312795162
460,31337349120,431.4555125311017
480,34115420160,471.73704765737057
500,37011456000,520.6955093890429
520,40025456640,563.5193763300776
540,43157422080,606.9888258352876
560,46407352320,652.4300966411829
580,49775247360,699.3753118440509
600,53261107200,750.5563152953982
620,56864931840,786.8921793997288
