Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
100,1485619200,0.44873046875,0.0,5.301062973706542
120,2136637440,0.53662109375,0.0,5.855159041610685
140,2905620480,0.936767578125,0.0,9.254132646384898
160,3792568320,1.07,0.0,10.343586649369072
180,4797480960,1.2,0.0,11.51240480088585
200,5920358400,1.78,0.0,13.994902048401677
220,7161200640,1.95,0.0,15.23980080337451
240,8520007680,2.13,0.0,16.561349985787313
260,9996779520,2.88,0.0,19.263347810333794
280,11591516160,3.1,0.0,20.734494104067814
300,13304217600,3.32,0.0,22.016994969768298
320,15134883840,3.54,0.0,24.734111685488557
340,17083514880,4.51,0.0,28.30285756514073
360,19150110720,4.77,0.0,29.879671314058154
380,21334671360,5.04,0.0,32.91830447855759
400,23637196800,6.18,0.0,37.305613616117846
420,26057687040,6.49,0.0,38.98401776826507
440,28596142080,6.8,0.0,40.724841670391406
460,31252561920,6.1,2.03,62.55387708505577
480,34026946560,6.36,2.11,65.20575190567084
500,36919296000,6.62,2.2,67.93344952538982
520,39929610240,5.17,5.15,96.19304488130562
540,43057889280,5.37,5.35,99.71090175446358
560,46304133120,5.57,5.55,103.45458437421091
580,49668341760,6.41,6.38,115.97673905625551
600,53150515200,6.63,6.6,119.89507736597169
620,56750653440,6.85,6.82,123.76698740507226
