Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
272,10989600768,"[0.762939453125, 0.74951171875, 1.5]","[0.0, 0.0, 0.0]",26.174874370917678
282,11809456128,"[0.7958984375, 0.782470703125, 1.56]","[0.0, 0.0, 0.0]",26.802083619404584
292,12658802688,"[0.81787109375, 0.804443359375, 1.61]","[0.0, 0.0, 0.0]",28.176723753567785
302,13537640448,"[0.850830078125, 0.83740234375, 1.67]","[0.0, 0.0, 0.0]",30.220751038286835
312,14445969408,"[0.872802734375, 0.859375, 1.72]","[0.0, 0.0, 0.0]",31.69739359524101
322,15383789568,"[1.09, 1.07, 2.14]","[0.0, 0.0, 0.0]",29.849681959021837
332,16351100928,"[1.11, 1.1, 2.19]","[0.0, 0.0, 0.0]",32.429195425938815
342,17347903488,"[1.15, 1.14, 2.27]","[0.0, 0.0, 0.0]",36.890524378977716
352,18374197248,"[1.18, 1.16, 2.33]","[0.0, 0.0, 0.0]",37.913062712177634
362,19429982208,"[1.22, 1.2, 2.41]","[0.0, 0.0, 0.0]",29.857452232390642
372,20515258368,"[1.25, 1.23, 2.46]","[0.0, 0.0, 0.0]",30.812644769903272
382,21630025728,"[1.28, 1.27, 2.54]","[0.0, 0.0, 0.0]",41.49502175161615
392,22774284288,"[1.53, 1.51, 3.02]","[0.0, 0.0, 0.0]",43.426836414728314
402,23948034048,"[1.58, 1.56, 3.11]","[0.0, 0.0, 0.0]",37.246846954803914
412,25151275008,"[1.61, 1.59, 3.18]","[0.0, 0.0, 0.0]",45.48278935952112
422,26384007168,"[1.65, 1.63, 3.27]","[0.0, 0.0, 0.0]",44.603270520456135
432,27646230528,"[1.68, 1.66, 3.33]","[0.0, 0.0, 0.0]",47.888466159347445
442,28937945088,"[1.73, 1.71, 3.42]","[0.0, 0.0, 0.0]",47.357218705583364
452,30259150848,"[2.01, 1.99, 3.98]","[0.0, 0.0, 0.0]",51.53230000520125
462,31609847808,"[2.06, 2.04, 4.09]","[0.0, 0.0, 0.0]",52.61115669971332
472,32990035968,"[2.1, 2.08, 4.16]","[0.0, 0.0, 0.0]",53.56283924775198
482,34399715328,"[2.15, 2.13, 4.26]","[0.0, 0.0, 0.0]",54.73277103854343
492,35838885888,"[2.19, 2.17, 4.33]","[0.0, 0.0, 0.0]",48.9640761166811
502,37307547648,"[2.24, 2.22, 4.44]","[0.0, 0.0, 0.0]",52.265998241491616
512,38805700608,"[2.28, 2.25, 4.51]","[0.0, 0.0, 0.0]",53.414056051988155
522,40333344768,"[2.62, 2.59, 5.19]","[0.0, 0.0, 0.0]",54.60074007278308
532,41890480128,"[2.66, 2.63, 5.27]","[0.0, 0.0, 0.0]",54.436316415667534
542,43477106688,"[2.72, 2.69, 5.39]","[0.0, 0.0, 0.0]",63.623196906410165
552,45093224448,"[2.76, 2.73, 5.47]","[0.0, 0.0, 0.0]",57.13681909022853
562,46738833408,"[2.82, 2.79, 5.59]","[0.0, 0.0, 0.0]",57.83939535962418
572,48413933568,"[2.86, 2.83, 5.66]","[0.0, 0.0, 0.0]",58.47703457577154
582,50118524928,"[3.24, 3.21, 3.21]","[0.0, 0.0, 3.21]",97.18734828522429
592,51852607488,"[3.28, 3.26, 3.26]","[0.0, 0.0, 3.26]",120.87925316533074
602,53616181248,"[3.35, 3.32, 3.32]","[0.0, 0.0, 3.32]",123.61629123566672
612,55409246208,"[3.39, 3.37, 3.37]","[0.0, 0.0, 3.37]",124.93541712639853
622,57231802368,"[3.46, 3.43, 3.43]","[0.0, 0.0, 3.43]",131.73141688341275
632,59083849728,"[3.5, 3.48, 3.48]","[0.0, 0.0, 3.48]",133.14021636499092
642,60965388288,"[3.93, 3.9, 3.9]","[0.0, 0.0, 3.9]",142.99345823004842
652,62876418048,"[3.97, 3.95, 3.95]","[0.0, 0.0, 3.95]",144.67861118493602
662,64816939008,"[4.05, 4.02, 4.02]","[0.0, 0.0, 4.02]",147.3924317350611
672,66786951168,"[4.1, 4.07, 4.07]","[0.0, 0.0, 4.07]",148.97281582001597
682,68786454528,"[4.17, 4.14, 4.14]","[0.0, 0.0, 4.14]",151.64724740199745
692,70815449088,"[4.22, 4.19, 4.19]","[0.0, 0.0, 4.19]",153.55247211875394
