Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
32,160432128,"[0.020751953125, 0.01806640625, 0.01806640625, 0.01806640625]","[0.0, 0.0, 0.0, 0.0]",1.6004309989511967
42,272498688,"[0.02734375, 0.024658203125, 0.024658203125, 0.024658203125]","[0.0, 0.0, 0.0, 0.0]",2.0766383688896894
52,414056448,"[0.03173828125, 0.029052734375, 0.029052734375, 0.029052734375]","[0.0, 0.0, 0.0, 0.0]",2.500973870046437
62,585105408,"[0.002685546875, 0.0712890625, 0.03564453125, 0.03564453125]","[0.0, 0.0, 0.0, 0.0]",3.2975554279983044
72,785645568,"[0.08544921875, 0.080078125, 0.080078125, 0.080078125]","[0.0, 0.0, 0.0, 0.0]",3.60474307090044
82,1015676928,"[0.0986328125, 0.09326171875, 0.09326171875, 0.09326171875]","[0.0, 0.0, 0.0, 0.0]",4.279272519052029
92,1275199488,"[0.0, 0.20947265625, 0.10205078125, 0.10205078125]","[0.0, 0.0, 0.0, 0.0]",5.308332913555205
102,1564213248,"[0.0, 0.23583984375, 0.115234375, 0.115234375]","[0.0, 0.0, 0.0, 0.0]",5.630858018994331
112,1882718208,"[0.12939453125, 0.1240234375, 0.1240234375, 0.1240234375]","[0.0, 0.0, 0.0, 0.0]",5.85640624165535
122,2230714368,"[0.142578125, 0.13720703125, 0.13720703125, 0.13720703125]","[0.0, 0.0, 0.0, 0.0]",6.664451151154935
132,2608201728,"[0.22705078125, 0.218994140625, 0.218994140625, 0.218994140625]","[0.0, 0.0, 0.0, 0.0]",7.389159444719553
142,3015180288,"[0.008056640625, 0.23876953125, 0.4775390625, 0.23876953125]","[0.0, 0.0, 0.0, 0.0]",8.335687695071101
152,3451650048,"[0.0, 0.511962890625, 0.251953125, 0.251953125]","[0.0, 0.0, 0.0, 0.0]",9.41863174084574
162,3917611008,"[0.27978515625, 0.271728515625, 0.271728515625, 0.271728515625]","[0.0, 0.0, 0.0, 0.0]",8.786466522142291
172,4413063168,"[0.29296875, 0.284912109375, 0.284912109375, 0.284912109375]","[0.0, 0.0, 0.0, 0.0]",9.453199515119195
182,4938006528,"[0.008056640625, 0.609375, 0.3046875, 0.3046875]","[0.0, 0.0, 0.0, 0.0]",10.559007995761931
192,5492441088,"[0.0, 0.643798828125, 0.31787109375, 0.31787109375]","[0.0, 0.0, 0.0, 0.0]",11.3732537208125
202,6076366848,"[0.4609375, 0.4501953125, 0.4501953125, 0.4501953125]","[0.0, 0.0, 0.0, 0.0]",11.41676267143339
212,6689783808,"[0.478515625, 0.4677734375, 0.4677734375, 0.4677734375]","[0.0, 0.0, 0.0, 0.0]",12.135426728054881
222,7332691968,"[0.5048828125, 0.494140625, 0.494140625, 0.494140625]","[0.0, 0.0, 0.0, 0.0]",12.473796266131103
232,8005091328,"[0.0, 0.0107421875, 0.51171875, 1.54]","[0.0, 0.0, 0.0, 0.0]",13.8558633858338
242,8706981888,"[0.0, 1.09, 0.5380859375, 0.5380859375]","[0.0, 0.0, 0.0, 0.0]",14.994392786175013
252,9438363648,"[0.0, 0.56640625, 0.5556640625, 1.11]","[0.0, 0.0, 0.0, 0.0]",15.275494358502328
262,10199236608,"[0.0, 0.740966796875, 1.46, 0.7275390625]","[0.0, 0.0, 0.0, 0.0]",19.726192075759172
272,10989600768,"[0.0, 0.74951171875, 0.762939453125, 1.5]","[0.0, 0.0, 0.0, 0.0]",17.72092580795288
282,11809456128,"[0.013427734375, 0.782470703125, 1.56, 0.782470703125]","[0.0, 0.0, 0.0, 0.0]",18.79521471913904
292,12658802688,"[0.013427734375, 0.804443359375, 1.61, 0.804443359375]","[0.0, 0.0, 0.0, 0.0]",18.98374748416245
302,13537640448,"[0.0, 1.69, 0.83740234375, 0.83740234375]","[0.0, 0.0, 0.0, 0.0]",18.880334878340364
312,14445969408,"[0.872802734375, 0.859375, 0.859375, 0.859375]","[0.0, 0.0, 0.0, 0.0]",17.66676425933838
322,15383789568,"[0.0, 2.16, 1.07, 1.07]","[0.0, 0.0, 0.0, 0.0]",25.22556978277862
332,16351100928,"[0.0, 2.21, 1.1, 1.1]","[0.0, 0.0, 0.0, 0.0]",23.67295109666884
342,17347903488,"[1.15, 1.14, 1.14, 1.14]","[0.0, 0.0, 0.0, 0.0]",20.901567097753286
352,18374197248,"[1.18, 1.16, 1.16, 1.16]","[0.0, 0.0, 0.0, 0.0]",21.739519746042788
362,19429982208,"[0.0, 2.42, 1.2, 1.2]","[0.0, 0.0, 0.0, 0.0]",27.213015710003674
