Num filters,# MACs,On chip mem used,Off chip mem used,Inference time
32,154533888,0.074951171875,0.0,2.149553969502449
42,264757248,0.101318359375,0.0,2.944155130535364
52,404471808,0.118896484375,0.0,2.58750282227993
62,573677568,0.145263671875,0.0,3.1328187324106693
72,772374528,0.32568359375,0.0,4.540720954537392
82,1000562688,0.37841796875,0.0,5.103876814246178
92,1258242048,0.41357421875,0.0,5.941227078437805
102,1545412608,0.46630859375,0.0,6.580797024071217
112,1862074368,0.50146484375,0.0,6.570788100361824
122,2208227328,0.55419921875,0.0,7.717345375567675
132,2583871488,0.884033203125,0.0,8.890326600521803
142,2989006848,0.963134765625,0.0,9.589704684913158
152,3423633408,1.02,0.0,10.086381807923317
162,3887751168,1.09,0.0,10.79827407374978
172,4381360128,1.15,0.0,11.325424071401358
182,4904460288,1.23,0.0,12.028554920107126
192,5457051648,1.28,0.0,11.783159337937832
202,6039134208,1.81,0.0,14.391956850886345
212,6650707968,1.88,0.0,14.867941848933697
222,7291772928,1.99,0.0,15.707910992205143
232,7962329088,2.06,0.0,16.221532598137856
242,8662376448,2.16,0.0,17.018394079059362
252,9391915008,2.23,0.0,17.56993494927883
262,10150944768,2.92,0.0,19.736784975975752
272,10939465728,3.01,0.0,20.328517071902752
282,11757477888,3.14,0.0,21.174706052988768
292,12604981248,3.23,0.0,21.74430713057518
302,13481975808,3.36,0.0,23.69912713766098
312,14388461568,3.45,0.0,24.301886092871428
322,15324438528,4.3,0.0,27.215159963816404
332,16289906688,4.4,0.0,27.77358004823327
342,17284866048,4.56,0.0,28.78688322380185
352,18309316608,4.67,0.0,29.443056788295507
362,19363258368,4.83,0.0,30.38276918232441
372,20446691328,4.93,0.0,31.025805044919252
382,21559615488,5.09,0.0,33.499963115900755
392,22702030848,6.06,0.0,36.668239161372185
402,23873937408,6.25,0.0,37.75500180199742
412,25075335168,6.37,0.0,38.39858993887901
422,26306224128,6.55,0.0,39.60310202091932
432,27566604288,6.68,0.0,40.2520839124918
442,28856475648,6.86,0.0,41.34334484115243
452,30175838208,5.99,1.99,61.60700600594282
462,31524691968,6.15,2.04,63.20764124393463
472,32903036928,6.26,2.08,64.2736773006618
482,34310873088,6.41,2.13,65.9517808817327
492,35748200448,6.52,2.17,66.88887672498822
502,37215019008,6.68,2.22,68.57959413900971
512,38711328768,6.78,2.25,69.71892109140754
522,40237129728,5.21,5.19,96.89493663609028
532,41792421888,5.29,5.27,98.36895298212767
542,43377205248,5.41,5.39,100.63640493899584
552,44991479808,5.49,5.47,102.06165490671992
562,46635245568,5.61,5.59,104.26410101354122
572,48308502528,5.69,5.66,105.75774498283863
582,50011250688,6.45,6.43,116.80683912709355
592,51743490048,6.54,6.51,118.41716105118394
602,53505220608,6.67,6.65,120.8389550447464
612,55296442368,6.76,6.73,122.43227986618876
622,57117155328,6.89,6.87,124.7749449685216
632,58967359488,6.98,6.95,126.41331693157554
642,60847054848,3.93,11.69,232.8283479437232
652,62756241408,3.97,11.84,235.58336310088634
662,64694919168,4.05,12.05,240.1144029572606
672,66663088128,4.1,12.2,241.86156260594726
682,68660748288,4.17,12.42,246.96842208504677
692,70687899648,4.22,12.56,248.5534747093916
702,72744542208,4.29,12.78,254.2838677763939
712,74830675968,4.73,14.1,263.3090759627521
722,76946300928,4.81,14.33,385.8158648945391
732,79091417088,4.86,14.49,389.765792991966
742,81266024448,4.94,14.73,395.7626409828663
