Num neuronas,# MACs,Inference time
100,37400,0.007873401045799255
140,69160,0.011241063475608826
180,110520,0.015264376997947693
220,161480,0.020293518900871277
260,222040,0.025080516934394836
300,292200,0.04168599843978882
340,371960,0.03447383642196655
380,461320,0.04053860902786255
420,560280,0.04999898374080658
460,668840,0.05500391125679016
500,787000,0.06132945418357849
540,914760,0.07170625030994415
580,1052120,0.0790078192949295
620,1199080,0.09182095527648926
660,1355640,0.10270997881889343
700,1521800,0.12433528900146484
740,1697560,0.135667622089386
780,1882920,0.15024840831756592
820,2077880,0.17453357577323914
860,2282440,0.1937132328748703
900,2496600,0.20548515021800995
940,2720360,0.2284366637468338
980,2953720,0.4063863307237625
1020,3196680,0.31990744173526764
1060,3449240,0.5453545600175858
1100,3711400,0.5631633102893829
1140,3983160,0.46513229608535767
1180,4264520,0.6420072168111801
1220,4555480,0.778423622250557
1260,4856040,0.6079301238059998
1300,5166200,0.8115377277135849
1340,5485960,0.8138343691825867
1380,5815320,0.7595382630825043
1420,6154280,0.9076874703168869
1460,6502840,0.9965356439352036
1500,6861000,1.0458249598741531
1540,7228760,1.0470803827047348
1580,7606120,1.2339241802692413
1620,7993080,1.2595802545547485
1660,8389640,1.3466235250234604
1700,8795800,1.2589413672685623
1740,9211560,1.432778313755989
1780,9636920,1.5341639518737793
1820,10071880,1.6277078539133072
1860,10516440,1.6829036176204681
1900,10970600,1.684008166193962
1940,11434360,1.7509739845991135
1980,11907720,1.9361935555934906
2020,12390680,2.046927809715271
2060,12883240,2.1326784044504166
2100,13385400,2.2476688027381897
2140,13897160,2.221193164587021
2180,14418520,2.40466371178627
2220,14949480,2.2560302168130875
2260,15490040,2.403711900115013
2300,16040200,2.3926980793476105
2340,16599960,2.6733707636594772
2380,17169320,2.857118844985962
2420,17748280,3.0068624764680862
2460,18336840,3.000745549798012
2500,18935000,3.137512132525444
2540,19542760,3.2795947045087814
2580,20160120,3.2585524022579193
2620,20787080,3.3974312245845795
