Hidden neurons,# MACs,On chip mem used,Inference time
2,13844,432.25,0.16288108629535655
102,706044,870.50,0.16215321018683668
202,1398244,1.70,0.15172582803940288
302,2090444,2.13,0.17709328735969504
402,2782644,2.98,0.16683347675265098
502,3474844,3.41,0.14782084000049805
602,4167044,4.26,0.1587730129154361
702,4859244,4.68,0.42171877029598975
802,5551444,5.53,0.15326173101760904
902,6243644,6.38,0.20474920581494058
1002,6935844,6.81,0.1558429010364474
1102,7628044,69.00,21.065177747561616
1202,8320244,75.25,22.16032896266908
1302,9012444,81.50,24.496302483793425
1402,9704644,87.75,25.645562019959396
1502,10396844,94.00,27.990545364742985
1602,11089044,100.25,30.221421433118532
1702,11781244,106.50,31.368934824986724
1802,12473444,112.75,33.61123686238211
1902,13165644,119.00,34.79010663090312
2002,13857844,125.25,37.09150163684877
2102,14550044,131.50,38.199214169717564
2202,15242244,137.75,40.45820896684819
2302,15934444,144.00,41.62856726432029
2402,16626644,150.25,43.916181860757725
2502,17318844,156.50,46.20996228780369
2602,18011044,162.75,47.34441773889928
2702,18703244,169.00,49.62855161224701
2802,19395444,175.25,50.76296044969741
2902,20087644,181.50,53.05713988194356
3002,20779844,187.75,54.155488764601095
3102,21472044,194.00,56.48356787290196
3202,22164244,200.25,58.75162949443472
3302,22856444,206.50,59.92022761124738
3402,23548644,212.75,62.2012805269689
3502,24240844,219.00,63.3363653525558
3602,24933044,225.25,65.57694304620429
