Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
100,37400,0.050537109375,0.0,0.07642991840839386
120,52080,0.05908203125,0.0,0.0770464539527893
140,69160,0.09716796875,0.0,0.08485931903123856
160,88640,0.109375,0.0,0.10424107313156128
180,110520,0.12158203125,0.0,0.10554678738117218
200,134800,0.17431640625,0.0,0.09683985263109207
220,161480,0.190185546875,0.0,0.11145602911710739
240,190560,0.2060546875,0.0,0.11952128261327744
260,222040,0.2734375,0.0,0.13014115393161774
280,255920,0.29296875,0.0,0.09274110198020935
300,292200,0.3125,0.0,0.12110359966754913
320,330880,0.33203125,0.0,0.13434700667858124
340,371960,0.417724609375,0.0,0.1436341553926468
360,415440,0.44091796875,0.0,0.1448327675461769
380,461320,0.464111328125,0.0,0.13868696987628937
400,509600,0.564453125,0.0,0.10019354522228241
420,560280,0.59130859375,0.0,0.10735448449850082
440,613360,0.6181640625,0.0,0.10048691183328629
460,668840,0.733154296875,0.0,0.15252083539962769
480,726720,0.763671875,0.0,0.13070181012153625
500,787000,0.794189453125,0.0,0.1416858285665512
520,849680,0.923828125,0.0,0.17380528151988983
540,914760,0.9580078125,0.0,0.11088885366916656
560,982240,0.9921875,0.0,0.11298246681690216
580,1052120,1.14,0.0,0.13926904648542404
600,1124400,1.17,0.0,0.16333255916833878
620,1199080,1.21,0.0,0.1526298001408577
640,1276160,1.25,0.0,0.12095645070075989
660,1355640,1.41,0.0,0.14326442033052444
680,1437520,1.45,0.0,0.16930792480707169
700,1521800,1.5,0.0,0.1451699063181877
720,1608480,1.67,0.0,0.12558605521917343
740,1697560,1.72,0.0,0.1255301758646965
760,1789040,1.76,0.0,0.1723477616906166
780,1882920,1.96,0.0,0.13440661132335663
800,1979200,2.0,0.0,0.16176700592041016
820,2077880,2.05,0.0,0.1533152535557747
840,2178960,2.26,0.0,0.15020743012428284
860,2282440,2.31,0.0,0.16111694276332855
880,2388320,2.36,0.0,0.16609206795692444
900,2496600,2.59,0.0,0.19111204892396927
920,2607280,2.64,0.0,0.18881727010011673
940,2720360,2.7,0.0,0.1884177327156067
960,2835840,2.75,0.0,0.1832619309425354
980,2953720,2.99,0.0,0.1673419028520584
1000,3074000,3.05,0.0,0.16733165830373764
1020,3196680,3.11,0.0,0.16795657575130463
1040,3321760,3.37,0.0,0.1233462244272232
1060,3449240,3.43,0.0,0.1394161954522133
1080,3579120,3.49,0.0,0.16505271196365356
1100,3711400,3.76,0.0,0.16045011579990387
1120,3846080,3.83,0.0,0.14044996351003647
1140,3983160,3.9,0.0,0.1451335847377777
1160,4122640,4.18,0.0,0.12660492211580276
1180,4264520,4.25,0.0,0.15208125114440918
1200,4408800,4.32,0.0,0.1247236505150795
1220,4555480,4.62,0.0,0.17255451530218124
1240,4704560,4.69,0.0,0.15253573656082153
1260,4856040,4.77,0.0,0.14926958829164505
1280,5009920,4.84,0.0,0.16606133431196213
1300,5166200,5.16,0.0,0.1297900453209877
1320,5324880,5.24,0.0,0.18312968313694
1340,5485960,5.32,0.0,0.15847384929656982
