Hidden neurons,# MACs,On chip mem used,Off chip mem used,Inference time
100,37400,"[0.0078125, 0.01220703125, 0.0244140625, 0.006103515625]","[0.0, 0.0, 0.0, 0.0]",0.9805996157228947
140,69160,"[0.01171875, 0.025634765625, 0.05126953125, 0.008544921875]","[0.0, 0.0, 0.0, 0.0]",1.0064192861318588
180,110520,"[0.01171875, 0.032958984375, 0.06591796875, 0.010986328125]","[0.0, 0.0, 0.0, 0.0]",0.9948452934622765
220,161480,"[0.0693359375, 0.0537109375, 0.0537109375, 0.013427734375]","[0.0, 0.0, 0.0, 0.0]",0.9918672032654285
260,222040,"[0.01953125, 0.079345703125, 0.15869140625, 0.015869140625]","[0.0, 0.0, 0.0, 0.0]",1.000316459685564
300,292200,"[0.01953125, 0.091552734375, 0.091552734375, 0.10986328125]","[0.0, 0.0, 0.0, 0.0]",0.9987642243504524
340,371960,"[0.14794921875, 0.12451171875, 0.12451171875, 0.020751953125]","[0.0, 0.0, 0.0, 0.0]",1.006739679723978
380,461320,"[0.0234375, 0.13916015625, 0.2783203125, 0.023193359375]","[0.0, 0.0, 0.0, 0.0]",0.997217632830143
420,560280,"[0.02734375, 0.35888671875, 0.179443359375, 0.025634765625]","[0.0, 0.0, 0.0, 0.0]",1.001440305262804
460,668840,"[0.255859375, 0.224609375, 0.224609375, 0.028076171875]","[0.0, 0.0, 0.0, 0.0]",1.0085414536297321
500,787000,"[0.03125, 0.244140625, 0.48828125, 0.030517578125]","[0.0, 0.0, 0.0, 0.0]",0.9939092397689819
540,914760,"[0.03515625, 0.59326171875, 0.296630859375, 0.032958984375]","[0.0, 0.0, 0.0, 0.0]",1.0054083913564682
580,1052120,"[0.0390625, 0.35400390625, 0.35400390625, 0.389404296875]","[0.0, 0.0, 0.0, 0.0]",1.0036252811551094
620,1199080,"[0.0390625, 0.7568359375, 0.37841796875, 0.037841796875]","[0.0, 0.0, 0.0, 0.0]",1.0077302157878876
660,1355640,"[0.04296875, 0.88623046875, 0.443115234375, 0.040283203125]","[0.0, 0.0, 0.0, 0.0]",1.008556243032217
700,1521800,"[0.04296875, 0.469970703125, 0.93994140625, 0.042724609375]","[0.0, 0.0, 0.0, 0.0]",1.011751051992178
740,1697560,"[0.046875, 0.5419921875, 1.08, 0.045166015625]","[0.0, 0.0, 0.0, 0.0]",0.9985985606908797
780,1882920,"[0.05078125, 1.24, 0.618896484375, 0.047607421875]","[0.0, 0.0, 0.0, 0.0]",1.0055425576865673
820,2077880,"[0.05078125, 0.650634765625, 1.3, 0.050048828125]","[0.0, 0.0, 0.0, 0.0]",1.0107110068202019
860,2282440,"[0.0546875, 0.73486328125, 0.73486328125, 0.787353515625]","[0.0, 0.0, 0.0, 0.0]",1.0067870654165745
900,2496600,"[0.05859375, 0.823974609375, 1.65, 0.054931640625]","[0.0, 0.0, 0.0, 0.0]",1.0055802762508392
940,2720360,"[0.05859375, 0.860595703125, 1.72, 0.057373046875]","[0.0, 0.0, 0.0, 0.0]",1.0098178498446941
980,2953720,"[0.0625, 0.95703125, 1.91, 0.059814453125]","[0.0, 0.0, 0.0, 0.0]",1.0089876130223274
1020,3196680,"[0.0625, 0.99609375, 1.99, 0.062255859375]","[0.0, 0.0, 0.0, 0.0]",1.0045751929283142
1060,3449240,"[0.06640625, 1.1, 1.1, 1.16]","[0.0, 0.0, 0.0, 0.0]",1.0102181322872639
1100,3711400,"[0.0703125, 1.21, 1.21, 1.28]","[0.0, 0.0, 0.0, 0.0]",1.0081974416971207
1140,3983160,"[0.0703125, 1.25, 1.25, 1.32]","[0.0, 0.0, 0.0, 0.0]",1.0065578110516071
1180,4264520,"[0.07421875, 1.37, 2.74, 0.072021484375]","[0.0, 0.0, 0.0, 0.0]",1.0130800306797028
1220,4555480,"[0.078125, 1.49, 2.98, 0.074462890625]","[0.0, 0.0, 0.0, 0.0]",1.0015105828642845
1260,4856040,"[0.078125, 3.08, 1.54, 0.076904296875]","[0.0, 0.0, 0.0, 0.0]",1.0112897120416164
1300,5166200,"[0.08203125, 3.33, 1.67, 0.079345703125]","[0.0, 0.0, 0.0, 0.0]",1.009636726230383
1340,5485960,"[0.08203125, 1.72, 1.72, 1.8]","[0.0, 0.0, 0.0, 0.0]",1.0124458372592926
1380,5815320,"[0.0859375, 3.71, 1.85, 0.084228515625]","[0.0, 0.0, 0.0, 0.0]",1.0110214352607727
1420,6154280,"[0.08984375, 1.99, 3.99, 0.086669921875]","[0.0, 0.0, 0.0, 0.0]",1.0083787143230438
1460,6502840,"[2.14, 2.05, 2.05, 0.089111328125]","[0.0, 0.0, 0.0, 0.0]",1.0064241476356983
1500,6861000,"[0.09375, 4.39, 2.2, 0.091552734375]","[0.0, 0.0, 0.0, 0.0]",1.0160311125218868
1540,7228760,"[0.09765625, 4.7, 2.35, 0.093994140625]","[0.0, 0.0, 0.0, 0.0]",1.0129401087760925
1580,7606120,"[0.09765625, 2.41, 4.82, 0.096435546875]","[0.0, 0.0, 0.0, 0.0]",1.008596047759056
1620,7993080,"[0.1015625, 2.57, 2.57, 2.67]","[0.0, 0.0, 0.0, 0.0]",1.014248114079237
1660,8389640,"[0.1015625, 2.63, 5.27, 0.101318359375]","[0.0, 0.0, 0.0, 0.0]",1.0052884183824062
1700,8795800,"[2.91, 2.8, 2.8, 0.103759765625]","[0.0, 0.0, 0.0, 0.0]",1.0212049819529057
1740,9211560,"[0.109375, 5.95, 2.97, 0.106201171875]","[0.0, 0.0, 0.0, 0.0]",1.0087765753269196
1780,9636920,"[0.109375, 6.08, 3.04, 0.108642578125]","[0.0, 0.0, 0.0, 0.0]",1.002244632691145
1820,10071880,"[0.11328125, 6.44, 3.22, 0.111083984375]","[0.0, 0.0, 0.0, 0.0]",1.011592224240303
1860,10516440,"[0.1171875, 3.41, 6.81, 0.113525390625]","[0.0, 0.0, 0.0, 0.0]",1.0061020031571388
1900,10970600,"[0.1171875, 3.48, 6.96, 0.115966796875]","[0.0, 0.0, 0.0, 0.0]",1.0100278072059155
1940,11434360,"[3.79, 3.67, 3.67, 0.118408203125]","[0.0, 0.0, 0.0, 0.0]",1.0169269889593124
1980,11907720,"[3.87, 3.75, 3.75, 0.120849609375]","[0.0, 0.0, 0.0, 0.0]",1.0221815295517445
2020,12390680,"[0.125, 3.95, 3.95, 0.123291015625]","[0.0, 3.95, 0.0, 0.0]",1.012148167937994
2060,12883240,"[4.28, 4.15, 4.15, 0.125732421875]","[0.0, 0.0, 0.0, 0.0]",1.0054700635373592
2100,13385400,"[0.12890625, 4.23, 4.23, 0.128173828125]","[0.0, 0.0, 4.23, 0.0]",1.0186756774783134
2140,13897160,"[0.1328125, 4.44, 4.44, 0.130615234375]","[0.0, 4.44, 0.0, 0.0]",1.007192600518465
2180,14418520,"[0.13671875, 4.66, 4.66, 0.133056640625]","[0.0, 0.0, 4.66, 0.0]",1.0223552584648132
2220,14949480,"[0.13671875, 4.74, 4.74, 0.135498046875]","[0.0, 4.74, 0.0, 0.0]",1.0190214030444622
2260,15490040,"[5.11, 4.97, 4.97, 0.137939453125]","[0.0, 0.0, 0.0, 0.0]",1.008928343653679
2300,16040200,"[5.19, 5.05, 5.05, 0.140380859375]","[0.0, 0.0, 0.0, 0.0]",1.0161117836833
2340,16599960,"[0.14453125, 5.28, 5.28, 0.142822265625]","[0.0, 0.0, 5.28, 0.0]",1.019254494458437
2380,17169320,"[5.67, 5.52, 5.52, 0.145263671875]","[0.0, 0.0, 0.0, 0.0]",1.0117989033460617
2420,17748280,"[0.1484375, 5.61, 5.61, 0.147705078125]","[0.0, 0.0, 5.61, 0.0]",1.0147875547409058
2460,18336840,"[6.01, 5.86, 5.86, 0.150146484375]","[0.0, 0.0, 0.0, 0.0]",1.0237489826977253
2500,18935000,"[6.26, 6.1, 6.1, 0.152587890625]","[0.0, 0.0, 0.0, 0.0]",1.0097567364573479
2540,19542760,"[6.36, 6.2, 6.2, 0.155029296875]","[0.0, 0.0, 0.0, 0.0]",1.0225651413202286
2580,20160120,"[0.16015625, 6.46, 6.46, 0.157470703125]","[0.0, 6.46, 0.0, 0.0]",1.0118653997778893
2620,20787080,"[0.16015625, 6.56, 6.56, 6.72]","[0.0, 0.0, 0.0, 0.0]",1.0174612328410149
