,Num iters,Mean rel error,Diff actions
0,1,0.0091431956168729,0.10000000000000142
1,51,0.0114914214732591,0.5
2,101,0.0114914214792195,0.5
3,151,0.0114914214792195,0.5
4,201,0.0114914214732591,0.5
5,251,0.0114914214732591,0.5
6,301,0.01149142147745,0.5
7,351,0.0114914214779157,0.5
8,401,0.0114914214779157,0.5
9,451,0.0114914214779157,0.5
10,501,0.0114914214779157,0.5
11,551,0.0114914214737247,0.5
12,601,0.0114914214737247,0.5
13,651,0.0114914214737247,0.5
14,701,0.0114914214737247,0.5
15,751,0.0149052430681457,0.8999999999999986
16,801,0.014358527264777,0.8999999999999986
17,851,0.0126654200495689,0.6999999999999993
18,901,0.0155991422131709,0.8000000000000007
19,951,0.0253367913723253,3.8000000000000007
20,1001,0.0214057031985889,2.6999999999999993
21,1051,0.0672720587647202,15.2
22,1101,0.0826750114073897,16.6
23,1151,0.0724935636676813,16.2
24,1201,0.0840744315774783,17.1
25,1251,0.0744914214737247,15.2
26,1297,0.074861098864302,15.07
27,1347,0.0875950988181866,15.87
28,1397,0.086023940659035,16.27
29,1447,0.0848666648142505,16.14
30,1497,0.0902131115970434,16.47
31,1547,0.0946110970061738,16.740000000000002
32,1597,0.0892017879652325,16.46
33,1647,0.0789464070017449,16.62
34,1697,0.0723962655031122,16.79
35,1747,0.0800349503680598,16.28
36,1797,0.0789081767369993,16.36
37,1847,0.0862586487925611,15.94
38,1897,0.0760266680123284,16.33
39,1947,0.0812551732028834,16.42
40,1997,0.0736024921235628,15.370000000000001
41,2047,0.0787818543598521,16.44
42,2097,0.0817553141748998,16.47
43,2147,0.0809476395421894,16.85
44,2197,0.0785971276041586,15.58
45,2247,0.0743419193051289,16.07
46,2297,0.0794132224121596,15.91
47,2347,0.073450027282047,16.64
48,2397,0.0773782802766189,15.8
49,2447,0.08468870871705,16.16
50,2497,0.0863648936275858,15.49
51,2547,0.084025775538478,16.46
52,2597,0.0906920984658412,16.44
53,2647,0.0855440059457905,15.54
54,2697,0.0849385993713047,15.7
55,2747,0.0945876298388,15.48
56,2797,0.0827117372362874,15.85
57,2847,0.0816745324189774,15.8
58,2897,0.088037000160804,16.55
59,2947,0.0746786127613391,15.58
60,2997,0.0783936748148873,15.8
61,3047,0.082222849482554,16.32
62,3097,0.0864453760458156,16.759999999999998
63,3147,0.0777744359170552,15.34
64,3197,0.0882914671733044,16.06
65,3247,0.0876403714832384,16.04
66,3297,0.080308324743621,16.42
67,3347,0.07630574133927,16.34
68,3397,0.0860447063227649,16.06
69,3447,0.0771066908099222,16.05
70,3497,0.0869753727902192,15.58
71,3547,0.0845434907609131,16.03
72,3597,0.0757597448410466,16.21
73,3647,0.0744667866686591,16.32
74,3697,0.0743106506077572,15.370000000000001
75,3747,0.092695653489232,16.2
76,3797,0.0812627918314188,15.92
77,3847,0.0902020916094537,15.84
78,3897,0.0794441147481556,15.74
79,3947,0.0769001275605056,16.05
80,3997,0.0879889035561122,15.4
81,4047,0.0931028365457896,15.5
82,4097,0.0830441461132839,15.82
83,4147,0.0777272477358812,16.1
84,4197,0.0832250426384387,15.879999999999999
85,4247,0.0911222003706731,15.08
86,4248,0.0842295222774613,15.91
87,4298,0.0807608107232023,15.379999999999999
88,4348,0.0844994952699635,15.81
89,4398,0.0776779870722675,15.97
90,4448,0.0860989885134156,15.7
91,4498,0.0870606632947456,15.69
92,4548,0.0790219802157953,15.2
93,4598,0.0889549107260536,15.83
94,4648,0.0881394935875665,15.44
95,4698,0.081997921940498,14.99
96,4748,0.0933510602897033,15.35
97,4798,0.0836872279319912,16.04
98,4848,0.086640971007687,15.98
99,4898,0.0816316825375775,16.39
100,4948,0.0856322959900833,15.57
101,4998,0.083568836666923,16.06
102,5048,0.0877092754963785,16.509999999999998
103,5098,0.087098819583212,15.84
104,5148,0.0835031147528207,15.93
105,5198,0.0797215716175735,15.47
106,5248,0.0803148143321042,14.55
107,5298,0.0786397641086485,15.09
108,5348,0.0786429326099343,15.03
109,5398,0.0845717947436031,15.52
110,5448,0.0907578459084965,15.54
111,5498,0.0823481069274246,15.7
112,5548,0.0791034198143519,15.17
113,5598,0.0816681413774378,15.32
114,5648,0.0771552287187892,15.18
115,5698,0.081242350291158,15.97
116,5748,0.0795840780183672,16.15
117,5798,0.0839198047078214,15.2
118,5848,0.0815943695895373,15.78
119,5898,0.0848350093965884,14.99
120,5948,0.0812893098702654,15.68
121,5998,0.080839908323111,14.91
122,6048,0.0785447992182802,14.9
123,6098,0.0898324702481739,15.36
124,6148,0.0871486427078954,14.7
125,6198,0.0825763865916524,15.01
126,6248,0.0879626664044801,14.8
127,6298,0.0889487828895449,15.25
128,6348,0.0908108802681788,15.399999999999999
129,6398,0.0883322895248187,14.26
130,6448,0.0874640198546228,14.84
131,6498,0.0854678965633502,15.22
132,6548,0.089081922434899,14.46
133,6598,0.0884160670439712,15.16
