Num iters,Rwd avg
1,-21.0
51,-20.9
101,-19.7
151,-19.7
201,-19.5
251,-19.8
301,-19.8
351,-17.6
401,-18.5
451,-18.5
501,-17.8
551,-17.2
601,-15.1
651,-15.2
701,-13.3
751,-13.7
801,-13.8
851,-13.1
901,-14.2
951,-14.2
1001,-14.0
1051,-12.1
1101,-12.4
1151,-10.8
1201,-10.6
1251,-10.9
1301,-10.3
1351,-9.7
1401,-8.6
1451,-6.7
1501,-5.7
1551,-7.8
1601,-6.6
1651,-7.5
1701,-8.0
1751,-6.8
1801,-6.1
1851,-7.0
1901,-5.9
1951,-7.0
2001,-5.8
2051,-6.2
2101,-6.8
2151,-6.6
2201,-5.8
2251,-6.4
2301,-6.0
2351,-4.4
2401,-5.2
2451,-6.5
2501,-5.7
2551,-6.1
2601,-6.8
2651,-6.0
2701,-6.4
2751,-5.7
2801,-5.1
2851,-5.5
2901,-5.1
2951,-4.6
3001,-4.3
3051,-6.1
3101,-7.0
3151,-5.2
3201,-6.6
3251,-5.2
3301,-5.1
3351,-4.5
3401,-5.7
3451,-5.0
3501,-3.7
3551,-6.0
3601,-6.2
3651,-5.3
3701,-3.6
3751,-5.2
3801,-6.0
3851,-5.7
3901,-5.9
3951,-4.1
4001,-5.7
4051,-5.3
4101,-4.1
4151,-5.0
4201,-5.3
4251,-6.7
4301,-6.5
4351,-4.9
4401,-4.8
4451,-5.2
4501,-4.3
4551,-4.3
4601,-3.4
4651,-4.0
4701,-5.0
4751,-4.7
4801,-4.4
4851,-4.5
4901,-4.4
4951,-6.6
5001,-4.9
5051,-5.4
5101,-3.8
5151,-5.5
5201,-4.4
5251,-4.5
5301,-5.0
5351,-4.3
5401,-5.1
5451,-4.7
5501,-5.6
5551,-5.4
5601,-3.4
5651,-3.5
5701,-4.4
5751,-4.0
5801,-2.8
5851,-4.5
5901,-5.2
5951,-5.2
6001,-7.2
6051,-6.4
6101,-3.9
6151,-4.5
6201,-2.7
6251,-3.1
6301,-5.8
6351,-4.6
6401,-4.4
6451,-5.6
6501,-4.3
6551,-3.3
6601,-1.7
6651,-4.0
6701,-5.7
6751,-4.6
6801,-4.8
6851,-5.9
6901,-6.3
6951,-5.0
7001,-3.4
7051,-5.1
7101,-3.9
7151,-4.2
7201,-4.3
7251,-4.8
7301,-5.0
7351,-2.5
7401,-2.7
7451,-3.1
7501,-4.3
7551,-4.1
7601,-4.4
7651,-2.3
7701,-2.7
7751,-4.1
7801,-3.4
7851,-3.4
7901,-1.7
7951,-3.8
8001,-4.3
8051,-2.9
8101,-4.4
8151,-3.8
8201,-2.7
8251,-3.1
8301,-4.8
8351,-2.3
8401,-2.7
8451,-3.5
8501,-3.3
8551,-3.4
8601,-3.1
8651,-2.9
8701,-1.6
8751,-3.8
8801,-1.9
8851,-1.7
8901,-3.8
8951,-1.3
9001,-2.3
9051,-1.0
9101,-2.9
9151,0.0
9201,0.2
9251,0.4
9301,-0.5
9351,-0.8
9401,1.2
9451,1.6
9501,1.2
9551,2.1
9601,1.4
9651,1.8
9701,2.6
9751,0.7
9801,3.4
9851,1.4
9901,2.8
9951,3.4
10001,0.5
10051,4.8
10101,7.5
10151,7.199999999999999
10201,7.4
10251,9.8
10301,6.1
10351,7.199999999999999
10401,9.2
10451,7.1
10501,6.9
10551,7.3
10601,4.1
10651,6.8
10701,10.2
10751,7.6
10801,5.1
10851,8.4
10901,7.4
10951,7.5
11001,7.1
11051,8.3
11101,7.4
11151,7.6
11201,7.6
11251,7.4
11301,6.0
11351,6.5
11401,8.5
11451,8.0
11501,8.0
11551,6.0
11601,5.8
11651,6.8
11701,6.2
11751,6.5
11801,7.1
11851,8.4
11901,10.1
11951,7.6
12001,7.8
12051,9.7
12101,7.6
12151,9.2
12201,9.6
12251,9.1
12301,7.9
12351,7.0
12401,6.8
12451,9.5
12501,9.5
12551,8.7
12601,9.2
12651,8.5
12701,9.7
12751,10.5
12801,6.6
12851,7.0
12901,6.699999999999999
12951,7.9
13001,5.6
13051,5.0
13101,7.3
13151,7.8
13201,5.1
13251,7.199999999999999
13301,8.6
13351,9.3
13401,10.1
13451,7.199999999999999
13501,8.5
13551,9.5
13601,10.7
13651,8.0
13701,8.7
13751,11.1
13801,6.5
13851,8.9
13901,10.5
13951,9.7
14001,8.8
14051,9.8
