n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,-21.0,-21.0,-21.0,1014.0,13357.605,21.339139699935913
n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
1,nan,nan,nan,nan,9615.894,11.062198400497437
2,nan,nan,nan,nan,9203.384,10.20088815689087
3,-21.0,-20.75,-20.0,1063.25,8835.854,9.491028785705566
4,-21.0,-20.875,-20.0,1051.0,8941.82,10.691755533218384
5,-21.0,-20.916666666666668,-20.0,1042.6666666666667,9017.036,10.734109163284302
6,-21.0,-20.9375,-20.0,1041.375,8889.638,9.67796015739441
7,-21.0,-20.9,-20.0,1046.55,8817.176,9.802162170410156
8,-21.0,-20.916666666666668,-20.0,1042.5416666666667,8746.172,9.699617862701416
9,-21.0,-20.928571428571427,-20.0,1041.4642857142858,8672.745,9.53090238571167
10,-21.0,-20.9375,-20.0,1038.59375,8760.241,10.959949493408203
11,-21.0,-20.944444444444443,-20.0,1039.861111111111,8655.491,9.985091209411621
12,-21.0,-20.95,-20.0,1039.95,8607.209,9.714620590209961
13,-21.0,-20.931818181818183,-20.0,1041.75,8663.06,10.074326038360596
14,-21.0,-20.9375,-20.0,1044.7083333333333,8771.206,11.784829139709473
15,-21.0,-20.923076923076923,-20.0,1045.6923076923076,8786.873,10.92637825012207
16,-21.0,-20.928571428571427,-20.0,1049.8214285714287,8842.674,10.212623834609985
17,-21.0,-20.9,-20.0,1052.4166666666667,8874.024,10.123228549957275
18,-21.0,-20.88888888888889,-20.0,1057.142857142857,8915.384,10.096349000930786
19,-21.0,-20.865671641791046,-20.0,1062.2835820895523,9139.054,11.739838600158691
20,-21.0,-20.830985915492956,-20.0,1068.7605633802816,9103.959,10.596150398254395
21,-21.0,-20.835616438356166,-20.0,1068.5753424657535,9176.161,10.659833431243896
22,-21.0,-20.844155844155843,-20.0,1069.1948051948052,9280.987,10.785494804382324
23,-21.0,-20.825,-19.0,1071.85,9340.368,10.656044483184814
24,-21.0,-20.80952380952381,-19.0,1074.7261904761904,9195.054,10.323535919189453
25,-21.0,-20.795454545454547,-19.0,1077.2613636363637,9145.402,10.39880919456482
26,-21.0,-20.75824175824176,-19.0,1081.032967032967,9267.601,11.461259841918945
27,-21.0,-20.757894736842104,-19.0,1081.7473684210527,9246.149,9.875133752822876
28,-21.0,-20.757575757575758,-19.0,1083.040404040404,9262.151,10.235421657562256
29,-21.0,-20.75,-19.0,1085.5,9084.815,9.94255542755127
30,-21.0,-20.75,-19.0,1086.82,9054.238,10.271198272705078
31,-21.0,-20.71,-19.0,1094.69,8922.888,9.390625476837158
32,-21.0,-20.69,-19.0,1099.79,8829.339,9.842269659042358
33,-21.0,-20.68,-19.0,1101.34,8730.897,9.672549724578857
34,-21.0,-20.67,-19.0,1107.81,8775.465,10.756279706954956
35,-21.0,-20.63,-19.0,1115.74,8835.079,11.032842874526978
36,-21.0,-20.63,-19.0,1119.86,8754.833,10.628437042236328
37,-21.0,-20.61,-19.0,1125.91,8775.123,10.077414512634277
38,-21.0,-20.56,-18.0,1135.42,8788.778,10.41731882095337
39,-21.0,-20.52,-18.0,1141.82,8815.424,10.239599227905273
40,-21.0,-20.51,-18.0,1145.19,8736.798,9.538888454437256
41,-21.0,-20.49,-18.0,1153.02,8822.329,10.24901533126831
42,-21.0,-20.46,-18.0,1159.56,8816.787,9.76688027381897
43,-21.0,-20.41,-17.0,1165.3,8901.811,10.522914409637451
44,-21.0,-20.41,-17.0,1168.62,8720.649,8.95499563217163
45,-21.0,-20.35,-17.0,1177.18,8531.084,9.12677264213562
46,-21.0,-20.3,-16.0,1187.42,8266.694,8.008679866790771
47,-21.0,-20.27,-16.0,1195.16,8396.186,11.384235382080078
48,-21.0,-20.25,-16.0,1199.44,8341.809,9.816418886184692
49,-21.0,-20.21,-16.0,1207.38,8424.625,11.091372728347778
50,-21.0,-20.17,-16.0,1213.64,8463.606,9.914642333984375
51,-21.0,-20.15,-16.0,1221.42,8469.347,10.289707660675049
52,-21.0,-20.14,-16.0,1230.36,8399.459,9.10080862045288
53,-21.0,-20.12,-16.0,1239.92,8466.962,11.222980976104736
54,-21.0,-20.13,-16.0,1243.16,8585.973,10.143706560134888
55,-21.0,-20.11,-16.0,1250.12,8638.595,9.62562084197998
56,-21.0,-20.05,-16.0,1265.24,8794.798,9.60226583480835
57,-21.0,-20.03,-16.0,1270.3,8646.026,9.984140396118164
58,-21.0,-20.03,-16.0,1275.31,8666.508,10.234221458435059
59,-21.0,-20.0,-16.0,1286.39,8521.989,9.614725351333618
60,-21.0,-19.93,-16.0,1300.54,8576.372,10.477270603179932
61,-21.0,-19.92,-16.0,1308.08,8681.2,11.401500701904297
62,-21.0,-19.91,-16.0,1310.59,8840.872,10.686240911483765
63,-21.0,-19.84,-16.0,1324.83,8657.284,9.438463926315308
64,-21.0,-19.78,-16.0,1333.49,8589.928,9.479151725769043
65,-21.0,-19.78,-16.0,1337.44,8473.428,8.436504125595093
66,-21.0,-19.71,-16.0,1350.41,8614.334,10.983285665512085
67,-21.0,-19.71,-16.0,1355.4,8753.944,11.343558311462402
68,-21.0,-19.68,-16.0,1361.09,8957.128,12.102725744247437
69,-21.0,-19.64,-16.0,1371.81,9024.196,10.287246465682983
70,-21.0,-19.62,-16.0,1381.61,9092.961,11.173010349273682
71,-21.0,-19.6,-16.0,1388.34,9148.397,11.88224458694458
72,-21.0,-19.6,-16.0,1395.54,9034.735,9.51280927658081
73,-21.0,-19.59,-16.0,1399.73,9250.627,11.532767057418823
74,-21.0,-19.57,-16.0,1413.92,9275.978,9.731904983520508
75,-21.0,-19.55,-16.0,1424.28,9401.938,9.765358209609985
76,-21.0,-19.53,-16.0,1427.15,9474.413,11.695810317993164
77,-21.0,-19.47,-16.0,1437.25,9279.376,9.37448263168335
78,-21.0,-19.44,-16.0,1442.37,8979.416,9.129225730895996
79,-21.0,-19.4,-16.0,1463.35,8948.492,10.015999555587769
80,-21.0,-19.4,-16.0,1463.35,8747.322,9.140080213546753
81,-21.0,-19.3,-15.0,1490.54,8658.49,11.076548337936401
82,-21.0,-19.34,-15.0,1490.82,8735.28,10.311846494674683
83,-21.0,-19.32,-15.0,1501.3,8703.286,11.230748891830444
84,-21.0,-19.37,-15.0,1500.42,8932.414,11.969377279281616
85,-21.0,-19.32,-15.0,1515.28,8922.833,9.587809324264526
86,-21.0,-19.27,-15.0,1526.75,8802.397,10.528203010559082
87,-21.0,-19.22,-15.0,1537.3,8728.981,8.647318124771118
88,-21.0,-19.21,-15.0,1546.16,8817.369,9.970035314559937
89,-21.0,-19.18,-15.0,1562.47,8785.121,9.656615734100342
90,-21.0,-19.18,-15.0,1565.75,8973.218,11.00252652168274
91,-21.0,-19.14,-15.0,1573.94,8722.293,8.512942790985107
92,-21.0,-19.14,-15.0,1575.59,8598.706,9.091569662094116
93,-21.0,-19.08,-15.0,1588.47,8322.072,8.43615984916687
94,-21.0,-19.04,-15.0,1598.08,8260.48,11.396887302398682
95,-21.0,-19.04,-15.0,1603.13,8180.345,8.810351133346558
96,-21.0,-19.0,-15.0,1618.23,8205.011,10.793248891830444
97,-21.0,-19.0,-15.0,1618.23,8409.742,10.6767258644104
98,-21.0,-19.0,-15.0,1627.12,8512.462,10.977409601211548
99,-21.0,-19.01,-15.0,1630.33,8516.428,9.678713083267212
100,-21.0,-18.95,-15.0,1642.3,8491.899,10.826189041137695
